Gaps of 0s and 1s (Length, Start Position, Gap Type):
Gap Type: 0, Length: 6, Start Position: X1
Gap Type: 0, Length: 3, Start Position: X9
Gap Type: 0, Length: 1, Start Position: X13
Gap Type: 0, Length: 1, Start Position: X15
Gap Type: 0, Length: 1, Start Position: X18
Gap Type: 0, Length: 5, Start Position: X20
Gap Type: 0, Length: 1, Start Position: X28
Gap Type: 0, Length: 5, Start Position: X31
Gap Type: 0, Length: 1, Start Position: X37
Gap Type: 0, Length: 1, Start Position: X44
Gap Type: 0, Length: 6, Start Position: X49
Gap Type: 0, Length: 2, Start Position: X57
Gap Type: 0, Length: 1, Start Position: X60
Gap Type: 0, Length: 2, Start Position: X62
Gap Type: 0, Length: 5, Start Position: X67
Gap Type: 0, Length: 1, Start Position: X73
Gap Type: 0, Length: 1, Start Position: X76
Gap Type: 0, Length: 1, Start Position: X81
Gap Type: 0, Length: 2, Start Position: X85
Gap Type: 0, Length: 1, Start Position: X90
Gap Type: 0, Length: 1, Start Position: X97
Gap Type: 0, Length: 4, Start Position: X99
Gap Type: 0, Length: 2, Start Position: X104
Gap Type: 0, Length: 2, Start Position: X107
Gap Type: 0, Length: 1, Start Position: X111
Gap Type: 0, Length: 1, Start Position: X114
Gap Type: 0, Length: 2, Start Position: X117
Gap Type: 0, Length: 2, Start Position: X121
Gap Type: 0, Length: 4, Start Position: X124
Gap Type: 0, Length: 1, Start Position: X131
Gap Type: 0, Length: 3, Start Position: X133
Gap Type: 0, Length: 5, Start Position: X139
Gap Type: 0, Length: 1, Start Position: X145
Gap Type: 0, Length: 1, Start Position: X148
Gap Type: 0, Length: 4, Start Position: X151
Gap Type: 0, Length: 1, Start Position: X157
Gap Type: 0, Length: 2, Start Position: X159
Gap Type: 0, Length: 1, Start Position: X162
Gap Type: 0, Length: 2, Start Position: X164
Gap Type: 0, Length: 1, Start Position: X168
Gap Type: 0, Length: 1, Start Position: X171
Gap Type: 0, Length: 1, Start Position: X174
Gap Type: 0, Length: 2, Start Position: X180
Gap Type: 0, Length: 2, Start Position: X185
Gap Type: 0, Length: 3, Start Position: X188
Gap Type: 0, Length: 1, Start Position: X192
Gap Type: 0, Length: 2, Start Position: X196
Gap Type: 0, Length: 1, Start Position: X199
Gap Type: 0, Length: 1, Start Position: X201
Gap Type: 0, Length: 3, Start Position: X203
Gap Type: 0, Length: 3, Start Position: X211
Gap Type: 0, Length: 1, Start Position: X216
Gap Type: 0, Length: 1, Start Position: X219
Gap Type: 0, Length: 2, Start Position: X221
Gap Type: 0, Length: 1, Start Position: X229
Gap Type: 0, Length: 1, Start Position: X233
Gap Type: 0, Length: 1, Start Position: X235
Gap Type: 0, Length: 1, Start Position: X237
Gap Type: 0, Length: 7, Start Position: X239
Gap Type: 0, Length: 2, Start Position: X249
Gap Type: 0, Length: 1, Start Position: X255
Gap Type: 0, Length: 1, Start Position: X257
Gap Type: 0, Length: 1, Start Position: X261
Gap Type: 0, Length: 1, Start Position: X264
Gap Type: 0, Length: 4, Start Position: X266
Gap Type: 0, Length: 3, Start Position: X271
Gap Type: 0, Length: 1, Start Position: X277
Gap Type: 0, Length: 2, Start Position: X279
Gap Type: 0, Length: 1, Start Position: X282
Gap Type: 0, Length: 1, Start Position: X284
Gap Type: 0, Length: 3, Start Position: X286
Gap Type: 0, Length: 1, Start Position: X291
Gap Type: 0, Length: 8, Start Position: X293
Gap Type: 0, Length: 1, Start Position: X302
Gap Type: 0, Length: 1, Start Position: X304
Gap Type: 0, Length: 3, Start Position: X307
Gap Type: 0, Length: 1, Start Position: X311
Gap Type: 0, Length: 3, Start Position: X313
Gap Type: 0, Length: 4, Start Position: X317
Gap Type: 0, Length: 2, Start Position: X322
Gap Type: 0, Length: 2, Start Position: X325
Gap Type: 0, Length: 1, Start Position: X329
Gap Type: 0, Length: 1, Start Position: X334
Gap Type: 0, Length: 1, Start Position: X336
Gap Type: 0, Length: 3, Start Position: X338
Gap Type: 0, Length: 11, Start Position: X343
Gap Type: 0, Length: 2, Start Position: X361
Gap Type: 0, Length: 3, Start Position: X365
Gap Type: 0, Length: 2, Start Position: X370
Gap Type: 0, Length: 3, Start Position: X374
Gap Type: 0, Length: 2, Start Position: X380
Gap Type: 0, Length: 1, Start Position: X383
Gap Type: 0, Length: 1, Start Position: X386
